,on_street_name,total_injured,total_killed,accidents
148,130-08 101 Avenue,2.0,0.0,1
149,130-08 160 Street,0.0,0.0,1
150,130-21 140 Street,0.0,0.0,1
151,130-23 101 Avenue,0.0,0.0,1
152,131 Avenue,0.0,0.0,1
153,131-35 Avery Avenue,2.0,0.0,1
154,132 Avenue,0.0,0.0,1
155,132 Street,0.0,0.0,2
156,132-67 Bedell Street,0.0,0.0,1
157,133 Avenue,4.0,0.0,6
158,133 Street,2.0,0.0,3
159,133-06 115 Avenue,0.0,0.0,1
160,133-08 120 Street,0.0,0.0,1
161,133-11 20 Avenue,0.0,0.0,1
162,133-11 Cross Bay Boulevard,0.0,0.0,1
163,133-23 221 Street,0.0,0.0,1
164,133-47 Denis Street,0.0,0.0,1
165,134 Avenue,0.0,0.0,1
166,134 Street,2.0,0.0,2
167,134-14 109 Avenue,0.0,0.0,1
168,135 Avenue,2.0,0.0,1
169,135 Street,0.0,0.0,1
170,137 Avenue,4.0,0.0,2
171,137-20 231 Street,0.0,0.0,1
172,137-58 Northern Boulevard,0.0,0.0,1
173,138 Avenue,0.0,0.0,1
174,138-05 Jamaica Avenue,2.0,0.0,1
175,138-08 Linden Boulevard,0.0,0.0,1
176,138-17 Lakewood Avenue,2.0,0.0,1
177,138-19 Hillside Avenue,0.0,0.0,1
178,139 Street,0.0,0.0,1
179,139-11 182 Street,0.0,0.0,1
180,139-42 87 Avenue,0.0,0.0,1
181,14 Avenue,8.0,0.0,10
182,14 Street,0.0,0.0,5
183,14-05 New Haven Avenue,0.0,0.0,1
184,14-16 Cornaga Avenue,2.0,0.0,1
185,14-30 Seagirt Boulevard,0.0,0.0,1
186,14-99 Beach Channel Drive,2.0,0.0,2
187,140 Avenue,0.0,0.0,1
188,140-32 Brewer Boulevard,0.0,0.0,1
189,141 Street,0.0,0.0,1
190,141-16 Foch Boulevard,0.0,0.0,1
191,141-18 249 Street,0.0,0.0,1
192,141-20 77 Road,0.0,0.0,1
193,141-40 84 Drive,2.0,0.0,1
194,142 Street,2.0,0.0,1
195,143 Street,0.0,0.0,1
196,144 Avenue,2.0,0.0,4
197,144 Road,0.0,0.0,1
198,144-18 107 Avenue,0.0,0.0,1
199,144-23 76 Road,0.0,0.0,1
200,144-33 Grand Central Parkway,0.0,0.0,1
201,144-38 175 Street,0.0,0.0,1
202,145 Drive,0.0,0.0,1
203,145 Road,2.0,0.0,2
204,145-05 Beach Channel Drive,2.0,0.0,1
205,145-08 Liberty Avenue,2.0,0.0,1
206,145-18 232 Street,0.0,0.0,1
207,146 Road,0.0,0.0,1
208,146 Street,2.0,0.0,6
209,146-55 177 Street,0.0,0.0,1
210,147 Avenue,0.0,0.0,2
211,147 Road,2.0,0.0,1
212,147 Street,2.0,0.0,5
213,147-17 Charter Road,0.0,0.0,1
214,147-26 Ferndale Avenue,0.0,0.0,1
215,148 Avenue,0.0,0.0,1
216,148 Street,8.0,0.0,7
217,149 Avenue,4.0,0.0,3
218,149 Street,0.0,0.0,2
219,15 Avenue,0.0,0.0,3
220,15 Drive,0.0,0.0,1
221,15-13 Central Avenue,0.0,0.0,1
222,150 Avenue,2.0,0.0,4
223,150 Street,6.0,0.0,11
224,150-09 88 Avenue,0.0,0.0,1
225,150-20 Grand Central Parkway,0.0,0.0,1
226,150-30 75 Avenue,0.0,0.0,1
227,150-35 Linden Boulevard,0.0,0.0,1
228,150-52 76 Road,0.0,0.0,1
229,151 Avenue,0.0,0.0,1
230,151-34 79 Avenue,0.0,0.0,1
231,152-17 88 Avenue,0.0,0.0,1
232,153 Street,0.0,0.0,5
233,153-17 Union Turnpike,0.0,0.0,1
