,on_street_name,total_injured,total_killed,accidents
661,61-51 Eliot Avenue,0.0,0.0,1
662,61-54 Springfield Boulevard,0.0,0.0,1
663,61-56 146 Street,0.0,0.0,1
664,61-57 55 Street,0.0,0.0,1
665,62 Avenue,0.0,0.0,2
666,62 Drive,0.0,0.0,1
667,62 Street,0.0,0.0,2
668,62-02 Almeda Avenue,0.0,0.0,1
669,62-23 64 Street,0.0,0.0,1
670,62-34 Mount Olivet Crescent,0.0,0.0,1
671,62-43 83 Street,0.0,0.0,1
672,62-54 82 Street,0.0,0.0,1
673,62-60 108 Street,0.0,0.0,1
674,62-67 60 Place,2.0,0.0,1
675,63 Drive,0.0,0.0,3
676,63 Street,2.0,0.0,4
677,63-08 255 Street,0.0,0.0,1
678,63-88 Woodhaven Boulevard,0.0,0.0,1
679,64 Avenue,4.0,0.0,3
680,64 Street,2.0,0.0,6
681,64-02 Catalpa Avenue,0.0,0.0,1
682,64-18 Madison Street,0.0,0.0,1
683,64-33 Springfield Boulevard,0.0,0.0,1
684,64-42 Cooper Avenue,0.0,0.0,1
685,65 Street,12.0,0.0,20
686,65-10 Parsons Boulevard,0.0,0.0,1
687,65-30 Kissena Boulevard,0.0,0.0,1
688,66 Avenue,2.0,0.0,2
689,66 Place,0.0,0.0,1
690,66 Street,6.0,0.0,5
691,66-26 Metropolitan Avenue,0.0,0.0,1
692,67 Avenue,0.0,0.0,1
693,67 Place,2.0,0.0,1
694,67 Street,0.0,0.0,4
695,67-12 136 Street,0.0,0.0,1
696,67-15 I 192 Street,0.0,0.0,1
697,67-25 188 Street,0.0,0.0,1
698,67-78 152 Street,0.0,0.0,1
699,68 Road,2.0,0.0,1
700,68 Street,2.0,0.0,4
701,68-02 Utopia Parkway,0.0,0.0,1
702,68-07 60 Street,0.0,0.0,1
703,69 Street,8.0,0.0,6
704,69-07 Cooper Avenue,0.0,0.0,1
705,69-26 185 Street,0.0,0.0,1
706,69-35 Astoria Boulevard,0.0,0.0,1
707,69-49 Park Drive East,2.0,0.0,1
708,69-84 Eliot Avenue,2.0,0.0,1
709,7 Avenue,27.0,0.0,35
710,7 Avenue South,4.0,0.0,2
711,7 Street,0.0,0.0,1
712,70 Avenue,0.0,0.0,1
713,70 Street,0.0,0.0,4
714,71 Road,0.0,0.0,1
715,71-02 Forest Avenue,0.0,0.0,1
716,71-12 35 Avenue,2.0,0.0,1
717,71-20 66 Street,0.0,0.0,1
718,71-20 Juniper Boulevard South,0.0,0.0,1
719,71-36 Myrtle Avenue,2.0,0.0,1
720,71-43 Kissena Boulevard,0.0,0.0,1
721,72 Avenue,0.0,0.0,1
722,72 Road,0.0,0.0,1
723,72 Street,2.0,0.0,5
724,72-06 Northern Boulevard,2.0,0.0,1
725,72-35 53 Road,0.0,0.0,1
726,72-69 Kissena Boulevard,0.0,0.0,1
727,73 Avenue,0.0,0.0,2
728,73 Street,6.0,0.0,4
729,73-01 37 Avenue,2.0,0.0,1
730,73-11 67 Drive,0.0,0.0,1
731,73-12 68 Road,2.0,0.0,1
732,73-34 71 Place,0.0,0.0,1
733,73-55 Grand Avenue,0.0,0.0,1
734,73-70 260 Street,0.0,0.0,1
735,74 Street,2.0,0.0,4
736,74-07 Myrtle Avenue,2.0,0.0,1
737,74-10 Commonwealth Boulevard,0.0,0.0,1
738,74-10 Little Neck Parkway,0.0,0.0,1
739,74-12 37 Avenue,2.0,0.0,1
740,74-16 58 Avenue,0.0,0.0,1
741,74-29 43 Avenue,0.0,0.0,1
742,75 Avenue,4.0,0.0,2
743,75 Street,2.0,0.0,2
744,75-09 Woodhaven Boulevard,2.0,0.0,1
745,75-27 62 Street,0.0,0.0,1
746,76 Street,2.0,0.0,3
747,76-02 Beach Channel Drive,2.0,0.0,1
748,76-02 Northern Boulevard,0.0,0.0,1
749,76-11 Northern Boulevard,0.0,0.0,1
750,76-12 35 Avenue,0.0,0.0,1
751,76-13 Roosevelt Avenue,0.0,0.0,1
752,76-23 58 Road,2.0,0.0,1
753,77 Avenue,0.0,0.0,1
754,77 Street,0.0,0.0,5
755,77-01 Cypress Avenue,0.0,0.0,1
756,77-39 164 Street,0.0,0.0,1
757,78 Avenue,0.0,0.0,1
758,78 Street,2.0,0.0,5
759,78-07 North Conduit Avenue,2.0,0.0,1
760,78-12 Cypress Hills Street,0.0,0.0,1
761,79 Lane,0.0,0.0,1
762,79 Street,2.0,0.0,3
763,79-05 149 Street,0.0,0.0,1
764,79-18 Eliot Avenue,2.0,0.0,1
765,8 Avenue,28.0,0.0,32
766,8 Street,0.0,0.0,2
767,80 Road,0.0,0.0,2
768,80 Street,4.0,0.0,5
769,80-04 Roosevelt Avenue,2.0,0.0,1
770,80-07 Cypress Avenue,0.0,0.0,1
771,80-10 Northern Boulevard,0.0,0.0,1
772,80-27 246 Street,0.0,0.0,1
773,80-30 Broadway,0.0,0.0,1
774,80-40 Cypress Avenue,0.0,0.0,1
775,80-41 Little Neck Parkway,0.0,0.0,1
776,80-68 Springfield Boulevard,0.0,0.0,1
777,81 Road,0.0,0.0,1
778,81 Street,4.0,0.0,6
779,81-04 Rockaway Beach Boulevard,2.0,0.0,1
780,81-13 37 Avenue,0.0,0.0,1
781,81-41 166 Street,0.0,0.0,1
782,82 Avenue,0.0,0.0,1
783,82 Road,2.0,0.0,1
784,82 Street,8.0,0.0,11
785,82-11 57 Avenue,2.0,0.0,1
786,82-25 234 Street,0.0,0.0,1
787,82-30 Parsons Boulevard,2.0,0.0,1
788,82-44 63 Avenue,0.0,0.0,1
789,82-68 164 Street,0.0,0.0,1
790,82-72 Broadway,0.0,0.0,1
791,83 Avenue,2.0,0.0,2
792,83 Street,2.0,0.0,2
793,83-12 35 Avenue,0.0,0.0,1
794,83-20 Queens Boulevard,2.0,0.0,1
795,84 Avenue,2.0,0.0,2
796,84 Drive,0.0,0.0,1
797,84 Street,4.0,0.0,7
798,84-10 Main Street,0.0,0.0,1
799,84-30 Broadway,0.0,0.0,1
800,84-35 89 Street,0.0,0.0,1
801,84-37 88 Street,0.0,0.0,1
802,84-98 56 Avenue,0.0,0.0,1
803,85 Avenue,2.0,0.0,4
804,85 Road,0.0,0.0,2
805,85 Street,2.0,0.0,7
806,85-04 151 Street,0.0,0.0,1
807,85-11 95 Avenue,0.0,0.0,1
808,85-19 Commonwealth Boulevard,0.0,0.0,1
809,85-23 Broadway,2.0,0.0,1
810,85-43 Eliot Avenue,0.0,0.0,1
811,86 Street,18.0,0.0,22
812,86-05 25 Avenue,2.0,0.0,1
813,86-07 Broadway,0.0,0.0,1
814,86-18 249 Street,2.0,0.0,1
815,86-34 Broadway,2.0,0.0,1
816,86-34 Woodhaven Boulevard,0.0,0.0,1
817,87 Road,0.0,0.0,2
818,87 Street,2.0,0.0,2
819,87-09 126 Street,0.0,0.0,1
820,87-15 63 Avenue,2.0,0.0,1
821,87-34 132 Street,0.0,0.0,1
822,87-47 Myrtle Avenue,0.0,0.0,1
823,87-48 129 Street,0.0,0.0,1
824,87-52 124 Street,0.0,0.0,1
825,88 Avenue,2.0,0.0,1
826,88 Road,0.0,0.0,1
827,88 Street,4.0,0.0,7
828,88-01 Queens Boulevard,0.0,0.0,1
829,88-27 208 Street,0.0,0.0,1
830,88-28 196 Street,0.0,0.0,1
831,88-40 173 Street,0.0,0.0,1
832,88-56 Myrtle Avenue,0.0,0.0,1
833,89 Avenue,4.0,0.0,3
834,89 Street,0.0,0.0,1
835,89-03 89 Avenue,0.0,0.0,1
836,89-15 133 Avenue,0.0,0.0,1
837,89-15 144 Street,0.0,0.0,1
838,89-17 138 Place,0.0,0.0,1
839,89-39 Elmhurst Avenue,2.0,0.0,1
840,89-56 Springfield Boulevard,0.0,0.0,1
841,89-70 163 Street,0.0,0.0,1
842,89-77 211 Street,0.0,0.0,1
843,9 Avenue,4.0,0.0,7
844,9 Street,8.0,0.0,5
845,90 Avenue,0.0,0.0,2
846,90 Street,2.0,0.0,1
847,90-01 Queens Boulevard,0.0,0.0,2
848,90-02 55 Avenue,0.0,0.0,1
849,90-06 103 Avenue,0.0,0.0,1
850,90-08 161 Street,0.0,0.0,1
851,90-10 150 Street,0.0,0.0,1
852,90-10 Rockaway Beach Boulevard,0.0,0.0,1
853,90-15 Queens Boulevard,2.0,0.0,1
854,90-59 56 Avenue,0.0,0.0,1
855,91 Avenue,2.0,0.0,3
856,91 Road,0.0,0.0,1
857,91 Street,2.0,0.0,2
858,91-02 37 Avenue,0.0,0.0,1
859,91-10 43 Avenue,0.0,0.0,1
860,91-17 Rockaway Beach Boulevard,0.0,0.0,1
861,91-25 187 Place,0.0,0.0,1
862,92 Street,0.0,0.0,1
863,92-06 173 Street,0.0,0.0,1
864,92-16 176 Street,0.0,0.0,1
865,92-28 217 Street,0.0,0.0,1
866,93 Avenue,0.0,0.0,2
867,93 Street,0.0,0.0,1
868,93-02 Atlantic Avenue,2.0,0.0,1
869,93-12 175 Street,0.0,0.0,1
870,93-29 Francis Lewis Boulevard,0.0,0.0,1
871,94 Avenue,2.0,0.0,1
872,94 Street,2.0,0.0,2
873,94-09 63 Drive,0.0,0.0,1
874,94-10 80 Street,0.0,0.0,1
875,94-15 216 Street,0.0,0.0,1
876,94-31 44 Avenue,0.0,0.0,1
877,94-40 215 Place,0.0,0.0,1
878,94-52 43 Avenue,0.0,0.0,1
879,94-54 43 Avenue,0.0,0.0,1
880,94-57 43 Avenue,0.0,0.0,1
881,95 Avenue,4.0,0.0,6
882,95 Street,2.0,0.0,3
883,95-23 Remington Street,0.0,0.0,1
884,95-29 104 Street,0.0,0.0,1
885,95-32 Roosevelt Avenue,0.0,0.0,1
886,95-57 110 Street,0.0,0.0,1
887,96 Street,0.0,0.0,2
888,96-18 91 Avenue,0.0,0.0,1
889,97 Avenue,2.0,0.0,4
890,97 Street,2.0,0.0,4
891,97-06 Northern Boulevard,0.0,0.0,1
892,97-07 Rockaway Boulevard,0.0,0.0,1
893,97-10 Queens Boulevard,0.0,0.0,1
894,97-17 Rockaway Boulevard,0.0,0.0,1
895,97-28 99 Street,0.0,0.0,1
896,98 Place,0.0,0.0,1
897,98 Street,0.0,0.0,1
898,98-15 Horace Harding Expressway,0.0,0.0,1
899,98-25 Horace Harding Expressway,0.0,0.0,1
900,98-30 57 Avenue,2.0,0.0,1
901,99 Avenue,2.0,0.0,2
902,99 Street,0.0,0.0,1
903,99-02 37 Avenue,0.0,0.0,1
904,99-08 32 Avenue,0.0,0.0,1
905,99-10 37 Avenue,0.0,0.0,1
906,Abingdon Avenue,0.0,0.0,1
907,Academy Street,0.0,0.0,2
908,Adams Street,2.0,0.0,3
909,Adee Avenue,2.0,0.0,4
910,Adelphi Street,0.0,0.0,1
911,Alabama Avenue,2.0,0.0,3
912,Alaska Street,0.0,0.0,1
913,Albany Avenue,8.0,0.0,14
914,Albany Crescent,0.0,0.0,1
915,Alderton Street,2.0,0.0,1
916,Aldus Street,0.0,0.0,2
917,Alexander Avenue,0.0,0.0,1
918,Allen Avenue,2.0,0.0,1
919,Allen Street,6.0,0.0,3
920,Allendale Street,2.0,0.0,1
921,Allerton Avenue,2.0,0.0,9
922,Amboy Road,4.0,0.0,4
923,Amboy Street,0.0,0.0,3
924,Amsterdam Avenue,10.0,0.0,24
925,Anderson Avenue,0.0,0.0,1
926,Andrews Avenue,0.0,0.0,1
927,Ann Street,2.0,0.0,2
928,Annadale Road,2.0,0.0,1
929,Apollo Street,0.0,0.0,1
930,Aqueduct Avenue,0.0,0.0,1
931,Archer Avenue,2.0,0.0,3
932,Arden Avenue,6.0,0.0,3
933,Arlington Avenue,2.0,0.0,1
934,Armstrong Avenue,0.0,0.0,1
935,Arnow Avenue,0.0,0.0,1
936,Arthur Avenue,0.0,0.0,4
937,Arthur Kill Road,2.0,0.0,7
938,Ascan Avenue,0.0,0.0,1
939,Ashford Street,0.0,0.0,2
940,Ashland Place,0.0,0.0,1
941,Aske Street,0.0,0.0,1
942,Astor Avenue,2.0,0.0,1
943,Astor Place,0.0,0.0,1
944,Astoria Boulevard,2.0,0.0,6
945,Astoria Park South,2.0,0.0,1
946,Atkins Avenue,0.0,0.0,3
947,Atlantic Avenue,72.0,1.0,82
948,Audubon Avenue,4.0,0.0,5
949,Aurelia Court,0.0,0.0,1
950,Austin Street,0.0,0.0,1
951,Autumn Avenue,0.0,2.0,3
952,Avenue,0.0,0.0,1
953,Avenue A,2.0,0.0,1
954,Avenue B,2.0,0.0,3
955,Avenue C,2.0,0.0,6
956,Avenue D,8.0,0.0,8
957,Avenue H,4.0,0.0,7
958,Avenue I,0.0,0.0,5
959,Avenue J,4.0,0.0,11
960,Avenue K,10.0,0.0,15
961,Avenue L,12.0,0.0,8
962,Avenue M,4.0,1.0,8
963,Avenue N,4.0,0.0,6
964,Avenue O,2.0,0.0,4
965,Avenue Of The Americas,11.0,0.0,14
966,Avenue P,6.0,0.0,10
967,Avenue R,2.0,0.0,2
968,Avenue S,2.0,0.0,1
969,Avenue T,6.0,0.0,6
970,Avenue U,12.0,0.0,9
971,Avenue V,4.0,0.0,7
972,Avenue W,2.0,0.0,2
973,Avenue X,6.0,0.0,5
974,Avenue Y,2.0,0.0,3
975,Avenue Z,4.0,0.0,3
976,Avery Avenue,0.0,0.0,1
977,Azalea Court,0.0,0.0,1
978,Bailey Avenue,0.0,0.0,2
979,Bainbridge Avenue,0.0,0.0,2
980,Bainbridge Street,0.0,0.0,1
981,Baisley Boulevard,0.0,0.0,3
982,Balcom Avenue,2.0,0.0,1
983,Baltic Street,0.0,0.0,2
984,Baltimore Street,0.0,0.0,1
985,Bank Street,2.0,0.0,1
986,Barbey Street,2.0,0.0,3
987,Barclay Street,0.0,0.0,2
988,Bard Avenue,0.0,0.0,2
989,Barker Avenue,4.0,0.0,2
990,Barker Street,0.0,0.0,1
991,Barnes Avenue,4.0,0.0,4
992,Barnett Avenue,0.0,0.0,1
993,Barretto Street,0.0,0.0,2
994,Bartow Avenue,6.0,0.0,7
995,Bascom Place,0.0,0.0,1
996,Batchelder Street,0.0,0.0,1
997,Bath Avenue,0.0,0.0,2
998,Bathgate Avenue,0.0,0.0,4
999,Baxter Avenue,0.0,0.0,1
1000,Baxter Street,0.0,0.0,1
1001,Bay 16 Street,0.0,0.0,2
1002,Bay 28 Street,0.0,0.0,1
1003,Bay 32 Street,0.0,0.0,1
1004,Bay 35 Street,0.0,0.0,1
1005,Bay 37 Street,0.0,0.0,2
1006,Bay 38 Street,0.0,0.0,1
1007,Bay 52 Street,2.0,0.0,1
1008,Bay 8 Street,0.0,0.0,5
1009,Bay Parkway,4.0,0.0,9
1010,Bay Ridge Avenue,0.0,0.0,5
1011,Bay Ridge Parkway,2.0,0.0,5
1012,Bay Street,2.0,0.0,6
1013,Bay View Avenue,2.0,0.0,1
1014,Bayard Street,0.0,0.0,1
1015,Baychester Avenue,6.0,0.0,9
1016,Beach 109 Street,0.0,0.0,1
1017,Beach 120 Street,0.0,0.0,1
1018,Beach 19 Street,0.0,0.0,1
1019,Beach 221 Street,0.0,0.0,1
1020,Beach 27 Street,0.0,0.0,2
1021,Beach 30 Street,0.0,0.0,1
1022,Beach 32 Street,0.0,0.0,2
1023,Beach 35 Street,0.0,0.0,1
1024,Beach 37 Street,2.0,0.0,1
1025,Beach 38 Street,2.0,0.0,1
1026,Beach 39 Street,0.0,0.0,1
1027,Beach 40 Street,0.0,0.0,1
1028,Beach 44 Street,0.0,0.0,1
1029,Beach 53 Street,0.0,0.0,1
1030,Beach 55 Street,0.0,0.0,1
1031,Beach 56 Place,2.0,0.0,1
1032,Beach 58 Street,0.0,0.0,1
1033,Beach 62 Street,0.0,0.0,2
1034,Beach 63 Street,0.0,0.0,1
1035,Beach 73 Street,4.0,0.0,2
1036,Beach 80 Street,0.0,0.0,1
1037,Beach 88 Street,0.0,0.0,1
1038,Beach Avenue,0.0,0.0,4
1039,Beach Channel Drive,6.0,0.0,7
1040,Beaumont Avenue,0.0,0.0,3
1041,Beaver Street,0.0,0.0,2
1042,Bedell Street,2.0,0.0,1
1043,Bedford Avenue,42.0,0.0,32
1044,Belknap Street,0.0,0.0,1
1045,Bell Boulevard,6.0,0.0,8
1046,Bellamy Loop,0.0,0.0,1
1047,Belmont Avenue,2.0,0.0,6
1048,Belt Parkway,134.0,0.0,168
1049,Bement Avenue,2.0,0.0,2
1050,Bennett Avenue,2.0,0.0,2
1051,Bennett Street,0.0,0.0,1
1052,Benson Avenue,2.0,0.0,3
1053,Bergen Avenue,0.0,0.0,1
1054,Bergen Street,0.0,0.0,3
1055,Berkeley Place,0.0,0.0,1
1056,Berriman Street,0.0,0.0,1
1057,Bethel Loop,0.0,0.0,1
1058,Bethune Street,0.0,0.0,1
1059,Beverley Road,4.0,0.0,6
1060,Birchall Avenue,2.0,0.0,1
1061,Blake Avenue,10.0,0.0,8
1062,Bleecker Street,8.0,0.0,9
1063,Bloomingdale Road,0.0,0.0,3
1064,Boerum Place,4.0,0.0,3
1065,Boerum Street,2.0,0.0,2
1066,Boller Avenue,2.0,0.0,1
1067,Bolton Street,0.0,0.0,2
1068,Bond Street,0.0,0.0,1
1069,Boody Street,2.0,0.0,1
1070,Boone Avenue,0.0,0.0,2
1071,Booth Memorial Avenue,2.0,0.0,1
1072,Borden Avenue,4.0,0.0,4
1073,Borinquen Place,2.0,0.0,1
1074,Boston Road,14.0,0.0,28
1075,Bosworth Street,0.0,0.0,1
1076,Bowen Street,2.0,0.0,2
1077,Bowery,6.0,0.0,7
1078,Bowne Street,6.0,0.0,4
1079,Boyd Avenue,0.0,0.0,1
1080,Boyland Street,4.0,0.0,4
1081,Boynton Avenue,0.0,0.0,3
1082,Braddock Avenue,2.0,0.0,1
1083,Bradford Street,2.0,0.0,2
1084,Bradhurst Avenue,2.0,0.0,2
1085,Bradley Avenue,0.0,0.0,1
1086,Brewer Boulevard,10.0,0.0,10
1087,Bridge Street,0.0,0.0,1
1088,Bridgewater Street,0.0,0.0,1
1089,Briggs Avenue,0.0,0.0,3
1090,Brighton 1 Street,2.0,0.0,1
1091,Brighton 13 Street,0.0,0.0,1
1092,Brighton 14 Street,0.0,0.0,1
1093,Brighton 3 Street,0.0,0.0,1
1094,Brighton 4 Street,0.0,0.0,1
1095,Brighton Avenue,0.0,0.0,1
1096,Brightwater Court,0.0,0.0,2
1097,Broad Street,2.0,0.0,1
1098,Broadway,99.0,0.0,99
1099,Bronx Boulevard,2.0,0.0,6
1100,Bronx Park East,0.0,0.0,5
1101,Bronx Park South,0.0,0.0,2
1102,Bronx River Avenue,4.0,0.0,6
1103,Bronx River Parkway,34.0,0.0,30
1104,Bronxdale Avenue,2.0,0.0,3
1105,Bronxwood Avenue,4.0,0.0,6
1106,Brook Avenue,4.0,0.0,5
1107,Brooklyn Avenue,6.0,0.0,15
1108,Brooklyn Qns Expressway,4.0,0.0,3
1109,Brooklyn Queens Expressway,62.0,0.0,90
1110,Brookville Boulevard,4.0,0.0,9
1111,Broome Street,0.0,0.0,3
1112,Bruckner Avenue,0.0,0.0,1
1113,Bruckner Boulevard,38.0,4.0,56
1114,Bruckner Expressway,30.0,0.0,42
1115,Bruner Avenue,0.0,0.0,3
1116,Brunswick Avenue,0.0,0.0,2
1117,Brush Avenue,2.0,0.0,2
1118,Bryant Avenue,0.0,0.0,5
1119,Buel Avenue,4.0,0.0,2
1120,Buffalo Avenue,2.0,0.0,5
1121,Buhre Avenue,0.0,0.0,1
1122,Bullard Avenue,0.0,0.0,1
1123,Burbank Avenue,2.0,0.0,2
1124,Burgher Avenue,0.0,0.0,1
1125,Burke Avenue,4.0,0.0,5
1126,Burnett Street,0.0,0.0,1
1127,Burnside Avenue,0.0,0.0,1
1128,Bushwick Avenue,22.0,0.0,32
1129,Bussing Avenue,0.0,0.0,3
1130,Cabrini Boulevard,0.0,0.0,3
1131,Cadman Plaza West,0.0,0.0,1
1132,Calamus Avenue,0.0,0.0,1
1133,Calyer Street,0.0,0.0,1
1134,Cambreleng Avenue,0.0,0.0,3
1135,Cameron Place,0.0,0.0,1
1136,Campus Place,0.0,0.0,1
1137,Canal Street,4.0,0.0,9
1138,Canarsie Road,0.0,0.0,1
1139,Capodanno Boulevard,0.0,0.0,1
1140,Carlton Avenue,2.0,0.0,4
1141,Caroline Street,0.0,0.0,1
1142,Carpenter Avenue,0.0,0.0,3
1143,Carroll Street,0.0,0.0,3
1144,Carter Avenue,0.0,0.0,1
1145,Cary Avenue,0.0,0.0,1
1146,Cassidy Place,2.0,0.0,1
1147,Castle Hill Avenue,10.0,0.0,7
1148,Castleton Avenue,2.0,0.0,5
1149,Catalpa Avenue,0.0,0.0,1
1150,Cathedral Parkway,0.0,0.0,1
1151,Caton Avenue,10.0,0.0,8
1152,Cauldwell Avenue,0.0,0.0,5
1153,Cebra Avenue,0.0,0.0,2
1154,Cedar Avenue,0.0,0.0,2
1155,Cedar Street,0.0,0.0,2
1156,Central Avenue,14.0,0.0,11
1157,Central Park South,0.0,0.0,1
1158,Central Park West,4.0,0.0,6
1159,Centre Street,0.0,0.0,2
1160,Chambers Street,2.0,0.0,3
1161,Chase Court,0.0,0.0,1
1162,Chauncey Street,4.0,0.0,5
1163,Cheever Place,0.0,0.0,1
1164,Cherry Avenue,0.0,0.0,1
1165,Chestnut Avenue,2.0,0.0,2
1166,Chisholm Street,0.0,0.0,1
1167,Christie Avenue,0.0,0.0,1
1168,Chrystie Street,6.0,0.0,5
1169,Church Avenue,16.0,0.0,18
1170,Church Street,4.0,0.0,3
1171,Claremont Avenue,0.0,0.0,1
1172,Claremont Parkway,0.0,0.0,3
1173,Clarendon Road,10.0,0.0,10
1174,Clark Street,0.0,0.0,1
1175,Clarke Avenue,2.0,0.0,2
1176,Clarkson Avenue,10.0,0.0,10
1177,Classon Avenue,4.0,0.0,7
1178,Clay Avenue,4.0,0.0,3
1179,Clearview Expressway,10.0,0.0,15
1180,Clermont Avenue,0.0,0.0,1
1181,Cleveland Street,0.0,0.0,3
1182,Clifton Place,2.0,0.0,1
1183,Clinton Avenue,2.0,0.0,2
1184,Clinton Place,2.0,0.0,2
1185,Clinton Street,2.0,0.0,4
1186,Clove Road,4.0,0.0,5
1187,Clymer Street,0.0,0.0,1
1188,Colden Avenue,0.0,0.0,1
1189,Colden Street,0.0,0.0,1
1190,College Place,0.0,0.0,1
1191,College Point Boulevard,6.0,0.0,10
1192,Collfield Avenue,0.0,0.0,1
1193,Colonial Avenue,0.0,0.0,1
1194,Columbia Street,6.0,0.0,4
1195,Columbus Avenue,2.0,0.0,6
1196,Commerce Street,0.0,0.0,1
1197,Commonwlth Avenue,0.0,0.0,2
1198,Concord Avenue,0.0,0.0,1
1199,Conduit Boulevard,2.0,0.0,5
1200,Coney Island Avenue,14.0,0.0,18
1201,Conklin Avenue,2.0,0.0,2
1202,Conselyea Street,0.0,0.0,1
1203,Continental Avenue,0.0,0.0,1
1204,Convent Avenue,2.0,0.0,3
1205,Cook Street,0.0,0.0,1
1206,Coop City Boulevard,2.0,0.0,3
1207,Cooper Avenue,2.0,0.0,3
1208,Cooper Square,0.0,0.0,1
1209,Cooper Street,0.0,0.0,2
1210,Cornaga Avenue,2.0,0.0,5
1211,Corona Avenue,4.0,0.0,3
1212,Corson Avenue,0.0,0.0,1
1213,Cortelyou Road,6.0,0.0,12
1214,Cortlandt Street,0.0,0.0,2
1215,Coster Street,0.0,0.0,1
1216,Country Club Road,0.0,0.0,1
1217,Court Street,2.0,0.0,2
1218,Courtlandt Avenue,2.0,0.0,3
1219,Covert Street,0.0,0.0,1
1220,Cozine Avenue,4.0,0.0,5
1221,Cranford Avenue,0.0,0.0,1
1222,Crescent Avenue,0.0,0.0,2
1223,Crescent Street,8.0,0.0,8
1224,Creston Avenue,0.0,0.0,1
1225,Crocheron Avenue,0.0,0.0,1
1226,Croes Avenue,4.0,0.0,3
1227,Cromwell Avenue,2.0,0.0,3
1228,Cropsey Avenue,10.0,0.0,10
1229,Crosby Street,0.0,0.0,1
1230,Cross Bay Boulevard,4.0,0.0,11
1231,Cross Bronx Expressway,10.0,0.0,16
1232,Cross Bronx Expy,54.0,0.0,82
1233,Cross Island Parkway,50.0,0.0,56
1234,Crotona Avenue,6.0,0.0,8
1235,Crotona Park East,2.0,0.0,1
1236,Crotona Park North,0.0,0.0,1
1237,Crown Street,2.0,0.0,5
1238,Cypress Avenue,2.0,0.0,5
1239,Cypress Hill Street,0.0,0.0,1
1240,Cypress Hills Street,0.0,0.0,2
1241,Dahill Road,2.0,0.0,2
1242,Daly Avenue,2.0,0.0,2
1243,Dank Court,0.0,0.0,1
1244,Davidson Avenue,2.0,0.0,4
1245,Davis Avenue,0.0,0.0,2
1246,De Graw Street,2.0,0.0,3
1247,De Kalb Avenue,16.0,0.0,12
1248,De Witt Avenue,2.0,0.0,1
1249,Dean Street,2.0,0.0,5
1250,Debevoise Street,0.0,0.0,1
1251,Decatur Avenue,0.0,0.0,3
1252,Decatur Street,0.0,0.0,2
1253,Delancey Street,4.0,0.0,9
1254,Devoe Avenue,0.0,0.0,2
1255,Devoe Street,0.0,0.0,1
1256,Dewitt Place,0.0,0.0,1
1257,Dickens Street,0.0,0.0,3
1258,Digney Avenue,2.0,0.0,1
1259,Dinsmore Avenue,0.0,0.0,1
1260,Ditmars Boulevard,2.0,0.0,3
1261,Ditmas Avenue,4.0,0.0,5
1262,Division Avenue,2.0,0.0,1
1263,Division Street,0.0,0.0,1
1264,Dorchester Road,0.0,0.0,1
1265,Doscher Street,0.0,0.0,1
1266,Downing Street,0.0,0.0,1
1267,Driggs Avenue,2.0,0.0,2
1268,Drumgoole Road East,0.0,0.0,1
1269,Drumgoole Road West,2.0,0.0,1
1270,Dumont Avenue,2.0,0.0,5
1271,Dunkirk Drive,2.0,0.0,1
1272,Dunkirk Street,0.0,0.0,1
1273,Dyckman Street,2.0,0.0,4
1274,Dyre Avenue,2.0,0.0,1
1275,East 10 Street,2.0,0.0,3
1276,East 100 Street,0.0,0.0,2
1277,East 101 Street,0.0,0.0,3
1278,East 102 Street,6.0,0.0,10
1279,East 103 Street,0.0,0.0,2
1280,East 104 Street,2.0,0.0,3
1281,East 105 Street,0.0,0.0,3
1282,East 106 Street,4.0,0.0,2
1283,East 107 Street,0.0,0.0,2
1284,East 108 Street,2.0,0.0,3
1285,East 109 Street,0.0,0.0,3
1286,East 11 Street,2.0,0.0,4
1287,East 110 Street,4.0,0.0,4
1288,East 111 Street,0.0,0.0,1
1289,East 112 Street,4.0,0.0,4
1290,East 116 Street,4.0,0.0,4
1291,East 118 Street,2.0,0.0,2
1292,East 119 Street,2.0,0.0,1
1293,East 12 Street,0.0,0.0,7
1294,East 120 Street,2.0,0.0,3
1295,East 123 Street,2.0,0.0,1
1296,East 125 Street,8.0,0.0,10
1297,East 126 Street,0.0,0.0,1
1298,East 127 Street,2.0,0.0,1
1299,East 128 Street,0.0,0.0,2
1300,East 13 Street,4.0,0.0,4
1301,East 132 Street,4.0,0.0,5
1302,East 134 Street,4.0,0.0,6
1303,East 135 Street,6.0,0.0,9
1304,East 137 Street,2.0,0.0,1
1305,East 138 Street,18.0,0.0,16
1306,East 139 Street,0.0,0.0,3
1307,East 14 Street,4.0,0.0,6
1308,East 140 Street,2.0,0.0,5
1309,East 141 Street,2.0,0.0,1
1310,East 142 Street,0.0,0.0,2
1311,East 143 Street,0.0,0.0,4
1312,East 144 Street,2.0,0.0,3
1313,East 145 Street,2.0,0.0,2
1314,East 146 Street,0.0,0.0,1
1315,East 147 Street,0.0,0.0,1
1316,East 149 Street,18.0,0.0,18
1317,East 15 Street,4.0,0.0,4
1318,East 150 Street,4.0,0.0,3
1319,East 151 Street,0.0,0.0,3
1320,East 152 Street,2.0,0.0,2
1321,East 153 Street,0.0,0.0,1
