,latitude,longitude,accidents,total_injured,total_killed
0,40.501465,-74.24523,1,0.0,0.0
1,40.50331,-74.237465,1,0.0,0.0
2,40.503387,-74.24883,1,0.0,0.0
3,40.503414,-74.24495999999998,1,0.0,0.0
4,40.50447,-74.243454,1,0.0,0.0
5,40.504482,-74.24727,1,2.0,0.0
6,40.505527,-74.23819,1,2.0,0.0
7,40.506187,-74.2349,3,6.0,0.0
8,40.506756,-74.23307,1,2.0,0.0
9,40.506879999999995,-74.253006,1,0.0,0.0
10,40.507458,-74.235855,1,0.0,0.0
11,40.50773,-74.230064,1,0.0,0.0
12,40.50788,-74.22924,1,0.0,0.0
13,40.50828,-74.24949000000002,1,0.0,0.0
14,40.5086,-74.22378499999998,2,2.0,0.0
15,40.509163,-74.23388,1,0.0,0.0
16,40.509167,-74.23056,1,0.0,0.0
17,40.50918,-74.24704,1,0.0,0.0
18,40.509296,-74.24606,1,0.0,0.0
19,40.509665999999996,-74.21807,1,2.0,0.0
20,40.509679999999996,-74.23964000000002,1,0.0,0.0
21,40.51008,-74.25076,1,0.0,0.0
22,40.510117,-74.2492,1,0.0,0.0
23,40.510517,-74.24828000000002,3,0.0,0.0
24,40.511070000000004,-74.24669,3,4.0,0.0
25,40.511127,-74.248886,1,0.0,0.0
26,40.511146999999994,-74.24129,1,0.0,0.0
27,40.51149,-74.24059,1,2.0,0.0
28,40.51167,-74.24941,1,0.0,0.0
29,40.511734000000004,-74.21044,2,2.0,0.0
30,40.511787,-74.245316,1,0.0,0.0
31,40.511948,-74.23971,1,0.0,0.0
32,40.512028,-74.24976,3,0.0,0.0
33,40.51206,-74.250824,1,0.0,0.0
34,40.51245,-74.25015,1,0.0,0.0
35,40.51247,-74.23698399999998,1,0.0,0.0
36,40.512671999999995,-74.24378,1,0.0,0.0
37,40.513092,-74.24857,1,2.0,0.0
38,40.51332,-74.24439,1,0.0,0.0
39,40.513325,-74.248085,1,0.0,0.0
40,40.51347,-74.24889,1,0.0,0.0
41,40.51348,-74.24776,1,0.0,0.0
42,40.514057,-74.24178,1,0.0,0.0
43,40.51410300000001,-74.243256,1,0.0,0.0
44,40.51414000000001,-74.196686,1,0.0,0.0
45,40.514202000000004,-74.23601500000002,1,0.0,0.0
46,40.514362,-74.24629,1,0.0,0.0
47,40.514412,-74.20625,1,0.0,0.0
48,40.514523,-74.23966,1,0.0,0.0
49,40.51453400000001,-74.21152,1,2.0,0.0
50,40.514633,-74.24587,1,0.0,0.0
51,40.51468300000001,-74.24582,1,0.0,0.0
52,40.514773999999996,-74.24393,1,0.0,0.0
53,40.514957,-74.24539,1,0.0,0.0
54,40.51497,-74.23888000000002,1,0.0,0.0
55,40.515636,-74.23954,1,0.0,0.0
56,40.51577,-74.24355,2,2.0,0.0
57,40.516083,-74.195786,1,0.0,0.0
58,40.516335,-74.23283,2,2.0,0.0
59,40.516457,-74.196884,1,0.0,0.0
60,40.516594,-74.23765999999998,1,0.0,0.0
61,40.516624,-74.20279000000002,1,0.0,0.0
62,40.516804,-74.23348,1,2.0,0.0
63,40.516907,-74.240814,1,0.0,0.0
64,40.516956,-74.23369,1,0.0,0.0
65,40.5171,-74.23389399999998,7,0.0,0.0
66,40.517309999999995,-74.23798000000002,1,0.0,0.0
67,40.5177,-74.24055,1,2.0,0.0
68,40.518,-74.21262,1,0.0,0.0
69,40.518196,-74.2238,2,2.0,0.0
70,40.518314000000004,-74.23961,1,0.0,0.0
71,40.51852,-74.19708,1,0.0,0.0
72,40.519054,-74.2298,1,0.0,0.0
73,40.519936,-74.21101999999998,1,0.0,0.0
74,40.52,-74.1952,1,0.0,0.0
75,40.520092,-74.18816,1,0.0,0.0
76,40.520283,-74.19646999999998,1,0.0,0.0
77,40.520916,-74.23511500000002,5,6.0,0.0
78,40.521038,-74.236565,1,0.0,0.0
79,40.52114,-74.21724,3,0.0,0.0
80,40.52128,-74.23946,1,0.0,0.0
81,40.521834999999996,-74.23504,1,0.0,0.0
82,40.52185,-74.21163,1,0.0,0.0
83,40.521935,-74.2169,1,0.0,0.0
84,40.522495,-74.21382,1,2.0,0.0
85,40.522521999999995,-74.20966,1,0.0,0.0
86,40.52257,-74.19001,4,6.0,1.0
87,40.52280800000001,-74.23492399999998,1,2.0,0.0
88,40.523136,-74.21625,2,2.0,0.0
89,40.523464000000004,-74.23485600000002,1,0.0,0.0
90,40.523579999999995,-74.187225,1,2.0,0.0
91,40.523624,-74.199554,1,0.0,0.0
92,40.523884,-74.239204,1,2.0,0.0
93,40.523956,-74.21568,1,0.0,0.0
94,40.524,-74.186104,1,0.0,0.0
95,40.524097,-74.2141,1,0.0,0.0
96,40.52418,-74.2348,2,0.0,0.0
97,40.524475,-74.20529,1,0.0,0.0
98,40.52449,-74.20038000000002,2,0.0,0.0
99,40.524612,-74.230446,4,2.0,0.0
100,40.52474,-74.23344399999998,1,0.0,0.0
101,40.52499,-74.209854,1,0.0,0.0
102,40.5253,-74.20709000000002,1,2.0,0.0
103,40.525387,-74.23926999999998,1,0.0,0.0
104,40.52555,-74.22371,1,2.0,0.0
105,40.525745,-74.22751,1,2.0,0.0
106,40.525764,-74.2273,4,0.0,0.0
107,40.525784,-74.23530600000002,1,2.0,0.0
108,40.526077,-74.18759,1,2.0,0.0
109,40.52609,-74.18032,3,2.0,0.0
110,40.52626400000001,-74.20153,2,0.0,0.0
111,40.52664,-74.16814000000002,1,2.0,0.0
112,40.526709999999994,-74.17841,2,0.0,0.0
113,40.526759999999996,-74.17574,1,0.0,0.0
114,40.5268,-74.17671999999997,1,0.0,0.0
115,40.526825,-74.22157,1,2.0,0.0
116,40.526894,-74.16728,3,4.0,0.0
117,40.52724,-74.16645,1,0.0,0.0
118,40.527668,-74.230225,3,0.0,0.0
119,40.52796,-74.16258,1,0.0,0.0
120,40.528225,-74.23938000000003,1,2.0,0.0
121,40.528313,-74.192184,1,2.0,0.0
122,40.52836,-74.21601,1,0.0,0.0
123,40.52864,-74.21685,1,0.0,0.0
124,40.528904,-74.210976,1,0.0,0.0
125,40.529263,-74.18986,1,0.0,0.0
126,40.529373,-74.161354,1,0.0,0.0
127,40.529453000000004,-74.21100600000003,4,4.0,0.0
128,40.529476,-74.21278000000002,1,0.0,0.0
129,40.52985,-74.22279,1,0.0,0.0
130,40.52991,-74.19609,1,2.0,0.0
131,40.530105999999996,-74.190475,1,2.0,0.0
132,40.530262,-74.2111,2,2.0,0.0
133,40.53030800000001,-74.20269,1,0.0,0.0
134,40.530567,-74.158516,2,2.0,0.0
135,40.530617,-74.16226,1,0.0,0.0
136,40.530968,-74.18387,1,0.0,0.0
137,40.531036,-74.20716,1,0.0,0.0
138,40.53111,-74.157234,1,2.0,0.0
139,40.531433,-74.20688,2,0.0,0.0
140,40.53145,-74.20491,1,0.0,0.0
141,40.53171,-74.202896,1,2.0,0.0
142,40.53172,-74.16125500000003,1,0.0,0.0
143,40.531895,-74.22113,1,0.0,0.0
144,40.531918,-74.19175,3,4.0,0.0
145,40.532036,-74.2222,1,2.0,0.0
146,40.532115999999995,-74.15603,1,0.0,0.0
147,40.53213,-74.22308000000002,1,0.0,0.0
148,40.532135,-74.20439,1,2.0,0.0
149,40.5324,-74.22485,3,4.0,0.0
150,40.532425,-74.192024,1,0.0,0.0
151,40.532482,-74.2031,3,2.0,0.0
152,40.532616,-74.22389,1,0.0,0.0
153,40.53263,-74.15554,1,0.0,0.0
154,40.533157,-74.15504,1,0.0,0.0
155,40.533665,-74.171585,2,0.0,0.0
156,40.53382,-74.203735,1,0.0,0.0
157,40.533854999999996,-74.19479,1,2.0,0.0
