crash_date,crash_time,borough,zip_code,latitude,longitude,on_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2020-10-20,15:00:00,Bronx,10463,40.870540000000005,-73.9059,Heath Avenue,West 193 Street,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-10-27,04:19:00,Queens,11423,40.70942,-73.7749,184 Place,Jamaica Avenue,1,0,0,0,0,0,1,0,Reaction To Uninvolved Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Tractor Truck Diesel,Unspecified,Unspecified,Unspecified
2020-11-08,02:30:00,Queens,11423,40.72548,-73.76559,Francis Lewis Boulevard,Mclaughlin Avenue,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-16,14:52:00,Brooklyn,11230,40.612109999999994,-73.96679,East 7 Street,Avenue O,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-05,15:30:00,Bronx,10452,40.83562,-73.927864,Ogden Avenue,Unknown,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Taxi,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-01,01:19:00,Manhattan,10065,40.761234,-73.96389,2 Avenue,Unknown,2,0,0,0,0,0,2,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,Pick-Up Truck,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-20,09:10:00,Bronx,10459,40.820145000000004,-73.890656,Bruckner Expressway,Unknown,2,0,0,0,0,0,2,0,Lost Consciousness,Unspecified,Unspecified,Unspecified,Unspecified,Taxi,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-11,23:32:00,Manhattan,10019,40.76229,-73.986115,West 50 Street,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Taxi,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified
2020-10-27,09:40:00,Manhattan,10028,40.777553999999995,-73.94889,East 87 Street,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-11-24,16:42:00,Manhattan,10030,40.82092,-73.94333,West 142 Street,8 Avenue,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Unspecified,Unspecified,Unspecified,Sedan,Other,Unspecified,Unspecified,Unspecified
2020-11-30,19:00:00,Manhattan,10013,40.717278,-73.99544,Hester Street,Bowery,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified
2020-11-09,17:05:00,Brooklyn,11225,40.65684,-73.96222,Ocean Avenue,Unknown,1,0,0,0,1,0,0,0,Failure To Yield Right-Of-Way,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Bike,Unspecified,Unspecified,Unspecified
2020-11-05,09:10:00,Staten Island,10303,40.639523,-74.171265,Holland Avenue,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-14,15:06:00,Bronx,10452,40.840286,-73.92147,West 170 Street,Unknown,1,0,0,0,0,0,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,Unspecified,Unspecified,Unspecified,Box Truck,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-13,13:50:00,Brooklyn,11237,40.702774,-73.91956,Stockholm Street,Unknown,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,Unspecified,Unspecified,Unspecified,Other,Sedan,Unspecified,Unspecified,Unspecified
2020-10-26,14:45:00,Queens,11377,40.74729,-73.912125,39 Drive,52 Street,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-08,07:50:00,Brooklyn,11236,40.631207,-73.91154499999999,Paerdegat Avenue North,Paerdegat 3 Street,1,0,0,0,0,0,1,0,Glare,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Van,Station Wagon/Sport Utility Vehicle,Sedan,Unspecified
2020-12-04,08:00:00,Queens,11354,40.76877,-73.82754,32 Avenue,Leavitt Street,0,0,0,0,0,0,0,0,Passing Or Lane Usage Improper,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-15,14:35:00,Brooklyn,11232,40.652386,-74.00275400000001,5 Avenue,37 Street,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Bus,Unspecified,Unspecified,Unspecified
2020-10-28,09:25:00,Bronx,10452,40.843903000000005,-73.927284,Major Deegan Expressway,Unknown,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,Unspecified,Unspecified,Unspecified,Other,Sedan,Unspecified,Unspecified,Unspecified
2020-11-29,11:15:00,Manhattan,10022,40.759617,-73.961975,East 59 Street,Unknown,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unsafe Lane Changing,Unspecified,Unspecified,Unspecified,Sedan,Taxi,Unspecified,Unspecified,Unspecified
2020-11-18,15:30:00,Brooklyn,11203,40.659447,-73.9312,Utica Avenue,Unknown,0,0,0,0,0,0,0,0,Steering Failure,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified
2020-11-11,17:50:00,Bronx,10467,40.866603999999995,-73.86916,Barker Avenue,Britton Street,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-10,12:00:00,Queens,11101,40.753593,-73.92338000000001,Steinway Street,36 Avenue,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-16,08:00:00,Bronx,10452,40.844916999999995,-73.926384,Cross Bronx Expy,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unsafe Lane Changing,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-11-21,11:35:00,Bronx,10458,40.860176,-73.891754,East 189 Street,Park Avenue,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-10-19,16:50:00,Brooklyn,11207,40.667553000000005,-73.89671,Blake Avenue,Georgia Avenue,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Unspecified,Unspecified,Unspecified
2020-11-08,16:30:00,Queens,11378,40.733917,-73.9219,Long Island Expressway,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-21,11:15:00,Brooklyn,11236,40.64208,-73.91967,Chase Court,Ralph Avenue,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Other,Unspecified,Unspecified,Unspecified
2020-10-16,06:45:00,Queens,11373,40.729233,-73.88082,82-11 57 Avenue,Unknown,1,0,0,0,0,0,1,0,Pavement Slippery,Unspecified,Unspecified,Unspecified,Unspecified,Other,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-23,20:29:00,Bronx,10456,40.830334,-73.91895,East 165 Street,Unknown,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Unspecified,Unspecified,Unspecified
2020-10-22,19:00:00,Manhattan,10003,40.730457,-73.99365999999999,Mercer Street,Unknown,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Sedan,Other,Unspecified,Unspecified,Unspecified
2020-11-17,08:00:00,Queens,11422,40.6664,-73.74011,North Conduit Avenue,Laurelton Parkway,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Unspecified,Unspecified,Unspecified
2020-10-29,23:13:00,Brooklyn,11213,40.671925,-73.93918599999999,Albany Avenue,Sterling Place,1,0,0,0,1,0,0,0,Pavement Slippery,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Bike,Sedan,Unspecified,Unspecified,Unspecified
2020-11-02,14:55:00,Brooklyn,11219,40.637737,-74.00264,53 Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-27,22:40:00,Brooklyn,11239,40.642540000000004,-73.87652,Belt Parkway,Unknown,1,0,0,0,0,0,1,0,Reaction To Uninvolved Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-01,08:22:00,Bronx,10467,40.87892,-73.85862,East 215 Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-11-01,23:25:00,Manhattan,10040,40.861256,-73.925674,Nagle Avenue,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Taxi,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified
2020-10-22,07:40:00,Manhattan,10033,40.852333,-73.938774,Pinehurst Avenue,West 183 Street,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Unspecified,Unspecified,Unspecified,Bus,Sedan,Unspecified,Unspecified,Unspecified
2020-10-18,20:50:00,Bronx,10462,40.852596000000005,-73.86776,White Plains Road,Unknown,2,0,0,0,0,0,2,0,Failure To Yield Right-Of-Way,Headlights Defective,Unspecified,Unspecified,Unspecified,Sedan,Other,Unspecified,Unspecified,Unspecified
2020-10-30,11:30:00,Brooklyn,11204,40.621994,-73.99493000000001,65 Street,16 Avenue,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-07,14:21:00,Brooklyn,11212,40.66519,-73.9271,East New York Avenue,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-03,00:01:00,Manhattan,10011,40.73988,-73.99871999999999,West 16 Street,7 Avenue,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified
2020-11-07,21:07:00,Brooklyn,11219,40.645596000000005,-73.99453000000001,New Utrecht Avenue,39 Street,1,0,1,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-18,12:01:00,Brooklyn,11220,40.642025,-73.99918000000001,46 Street,9 Avenue,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,Other,Sedan,Sedan,Unspecified,Unspecified
2020-11-08,11:45:00,Brooklyn,11236,40.64165,-73.89069,East 103 Street,Avenue L,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified
2020-11-01,15:20:00,Brooklyn,11216,40.670006,-73.95328,Eastern Parkway,Rogers Avenue,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-21,21:35:00,Queens,11693,40.588657,-73.81318,Beach 88 Street,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-16,12:40:00,Manhattan,10039,40.823856,-73.9403,West 147 Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-11,17:25:00,Brooklyn,11223,40.597538,-73.968254,Avenue U,Unknown,1,0,1,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-25,10:10:00,Brooklyn,11234,40.613136,-73.94134,East 31 Street,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified
2020-10-19,22:20:00,Queens,11385,40.706623,-73.90226,59-16 Woodbine Street,Unknown,1,0,1,0,0,0,0,0,Backing Unsafely,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-26,16:05:00,Queens,11692,40.589134,-73.80098000000001,Beach 73 Street,Unknown,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-20,21:00:00,Brooklyn,11233,40.677017,-73.92182,Atlantic Avenue,Ralph Avenue,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-11-08,11:00:00,Brooklyn,11236,40.65316,-73.92085,Ralph Avenue,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-12,19:30:00,Bronx,10451,40.823456,-73.92444,Grand Concourse,Unknown,6,0,0,0,0,0,6,0,Following Too Closely,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-11-05,13:00:00,Manhattan,10021,40.7696,-73.95470999999999,1 Avenue,Unknown,1,0,1,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,E-Scooter,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-19,00:20:00,Bronx,10469,40.879032,-73.848625,Hicks Street,Corsa Avenue,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Taxi,Sedan,Unspecified,Unspecified,Unspecified
2020-10-30,09:38:00,Brooklyn,11219,40.638596,-73.992,12 Avenue,45 Street,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Bus,Taxi,Unspecified,Unspecified,Unspecified
2020-11-23,15:30:00,Manhattan,10012,40.72032,-73.99404,Bowery,Delancey Street,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Tractor Truck Diesel,Unspecified,Unspecified,Unspecified
2020-10-31,22:00:00,Bronx,10458,40.859425,-73.8947,East 187 Street,Marion Avenue,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-17,19:36:00,Bronx,10475,40.88653,-73.82606,Boston Road,Peartree Avenue,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-11-12,12:45:00,Brooklyn,11218,40.632618,-73.973206,18 Avenue,East 5 Street,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified
2020-11-02,06:40:00,Queens,11421,40.690575,-73.84742,96-18 91 Avenue,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-13,01:20:00,Brooklyn,11217,40.68306,-73.97378499999999,Atlantic Avenue,South Portland Avenue,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-11-18,09:20:00,Brooklyn,11206,40.7091,-73.94009,Scholes Street,Bushwick Avenue,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-11-09,14:30:00,Brooklyn,11216,40.679832,-73.95322,Bedford Avenue,Unknown,1,0,0,0,1,0,0,0,Failure To Yield Right-Of-Way,Following Too Closely,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,Unspecified,Unspecified,Unspecified
2020-11-08,13:15:00,Queens,11364,40.74706,-73.75565999999999,64-33 Springfield Boulevard,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-10-17,16:20:00,Brooklyn,11235,40.588173,-73.95246,Avenue Z,East 17 Street,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Unspecified,Unspecified,Unspecified
2020-11-24,12:50:00,Queens,11434,40.6629,-73.76836999999999,146 Road,Brewer Boulevard,0,0,0,0,0,0,0,0,Reaction To Uninvolved Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Pick-Up Truck,Unspecified,Unspecified,Unspecified
2020-10-24,01:54:00,Bronx,10459,40.826538,-73.89967,East 167 Street,Unknown,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,Unspecified,Unspecified,Unspecified,Box Truck,Sedan,Unspecified,Unspecified,Unspecified
2020-11-26,16:00:00,Queens,11357,40.793296999999995,-73.807106,154 Street,10 Avenue,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified
2020-11-02,22:58:00,Bronx,10466,40.887188,-73.85596,East 226 Street,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified
2020-10-30,18:30:00,Brooklyn,11203,40.654697,-73.93173,East 49 Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-01,19:10:00,Brooklyn,11225,40.656259999999996,-73.950165,Nostrand Avenue,Parkside Avenue,1,0,0,0,0,0,1,0,Other Vehicular,Unsafe Speed,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-11-13,16:00:00,Brooklyn,11207,40.660656,-73.885796,Linden Boulevard,Van Siclen Avenue,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Box Truck,Sedan,Unspecified,Unspecified,Unspecified
2020-11-06,21:15:00,Bronx,10459,40.820988,-73.89491,Tiffany Street,East 163 Street,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Motorcycle,Unspecified,Unspecified,Unspecified,Unspecified
