u,v,key,osmid,oneway,highway,length,geometry,lanes,ref,name,maxspeed,bridge,dangerosity,tunnel,access
596586530,42718631,0,"[46680888, 46680883, 38323987]",True,motorway,634.2740000000001,"LINESTRING (-73.821068 40.8233296, -73.8216906 40.8236315, -73.8223151 40.8239035, -73.82306079999999 40.8241998, -73.82375279999999 40.8244393, -73.8244978 40.824681, -73.8249575 40.8248276, -73.827862 40.8257799)",3,I 295,Cross Bronx Expressway,,yes,0.2740000000001146,,
42718631,596455795,0,"[46680841, 122738226, 46680850]",True,motorway,381.007,"LINESTRING (-73.827862 40.8257799, -73.8309089 40.8267531, -73.8313756 40.8269155, -73.8319929 40.8271768)",4,I 295,"['Cross Bronx Expressway West', 'Cross Bronx Expressway']",,yes,0.007000000000005002,,
596455795,42728326,0,"[122738227, 5695923, 46673622, 122738230, 46673630]",True,motorway,1192.322,"LINESTRING (-73.8319929 40.8271768, -73.8347069 40.8283362, -73.835842 40.8287767, -73.8363913 40.8289715, -73.8369149 40.8291274, -73.8374814 40.8292183, -73.8380329 40.8292576, -73.8385093 40.8292741, -73.83861760000001 40.8292779, -73.8391969 40.829282, -73.8398085 40.8292617, -73.84033959999999 40.8292211, -73.84096719999999 40.8291561, -73.84221169999999 40.8289532, -73.84300570000001 40.8288476, -73.8435207 40.8287989, -73.8442878 40.8287583, -73.8448188 40.8287786, -73.8454411 40.8288679)","['3', '2']",I 295,Cross Bronx Expressway,,yes,0.32199999999988904,,
42728326,460238178,0,"[5695556, 727148951]",True,motorway,587.27,"LINESTRING (-73.8454411 40.8288679, -73.846058 40.8289816, -73.84669100000001 40.8291318, -73.8478128 40.8294763, -73.8483363 40.8296387, -73.8491174 40.8298985, -73.849907 40.8301483, -73.8508539 40.8304483, -73.8519459 40.8307652)",3,I-95 Southbound,Cross Bronx Expressway Westbound,,,0.2699999999999818,,
460238178,460238171,0,727148951,True,motorway,608.489,"LINESTRING (-73.8519459 40.8307652, -73.85497959999999 40.8316485, -73.85869030000001 40.8327412)",3,I-95 Southbound,Cross Bronx Expressway Westbound,,,0.48900000000003274,,
460238171,42718773,0,"[38796473, 38796474, 727148951]",True,motorway,672.341,"LINESTRING (-73.85869030000001 40.8327412, -73.8599147 40.8331101, -73.8621016 40.8337888, -73.8627407 40.833979, -73.863714 40.8342687, -73.86458090000001 40.8345349, -73.8661087 40.8349895)",3,"['I 95', 'I-95 Southbound']","['Cross Bronx Expressway Westbound', 'Cross Bronx Expressway']",,,0.3410000000000082,yes,
42718773,42718785,0,38796474,True,motorway,39.297,"LINESTRING (-73.8661087 40.8349895, -73.86617529999999 40.8350083, -73.8665464 40.8351129)",3,I 95,Cross Bronx Expressway,,,0.29699999999999704,,
42718785,6814512125,0,5695753,True,motorway_link,1.896,"LINESTRING (-73.8665464 40.8351129, -73.86656739999999 40.8351191)",1,,,,,0.8959999999999999,,
6814512125,42718804,0,"[38796474, 729119438, 729119439]",True,motorway,546.8430000000001,"LINESTRING (-73.86656739999999 40.8351191, -73.8679884 40.8355415, -73.86871789999999 40.8357363, -73.86931010000001 40.8358857, -73.86979940000001 40.8359831, -73.8698558 40.8359948, -73.87022159999999 40.8360621, -73.8706062 40.8361259, -73.8714559 40.8362363, -73.8721168 40.8362948, -73.8728222 40.8363749)",3,I 95,Cross Bronx Expressway,,,0.8430000000000746,,
42718804,42718844,0,"[46670726, 46686868, 45545198, 729119439]",True,motorway,691.7489999999998,"LINESTRING (-73.8728222 40.8363749, -73.8733981 40.8364081, -73.8745364 40.8364645, -73.8758871 40.8365387, -73.8761629 40.8365553, -73.876369 40.8365692, -73.8765935 40.8365862, -73.876806 40.8366062, -73.87700100000001 40.8366272, -73.8772058 40.8366521, -73.8774165 40.8366801, -73.877629 40.8367121, -73.8778239 40.8367446, -73.8780179 40.8367816, -73.8782345 40.836826, -73.8784455 40.8368733, -73.8786436 40.8369191, -73.8788583 40.8369718, -73.8790401 40.837019, -73.8792296 40.8370724, -73.87944039999999 40.8371359, -73.8796428 40.837201, -73.879841 40.8372676, -73.88002470000001 40.8373326, -73.8802173 40.8374032, -73.8804131 40.8374779, -73.8806033 40.837554, -73.8807827 40.8376296)",3,I 95,Cross Bronx Expressway,,yes,0.7489999999997963,,
42718844,6215429472,0,"[664054930, 46670725, 664054938]",True,motorway,169.227,"LINESTRING (-73.8807827 40.8376296, -73.8809778 40.8377154, -73.8811621 40.8378026, -73.8813351 40.8378883, -73.8815273 40.837989, -73.88178310000001 40.8381331, -73.8820925 40.8383109, -73.88242870000001 40.838502)",3,I 95,Cross Bronx Expressway,,yes,0.22700000000000387,,
6215429472,42718876,0,"[46670725, 469264839, 469264840, 175164873, 469264843, 469264844, 175164884, 46687225, 46687228]",True,motorway,1252.05,"LINESTRING (-73.88242870000001 40.838502, -73.8830147 40.8388291, -73.88360160000001 40.8391557, -73.8855959 40.8402702, -73.886253 40.8406349, -73.88930329999999 40.8423241, -73.88996419999999 40.8426553, -73.89028519999999 40.8427913, -73.89060790000001 40.842928, -73.8912431 40.8431488, -73.8919441 40.8433502, -73.8926068 40.8434791, -73.89300830000001 40.8435297, -73.89453829999999 40.8436993, -73.8950045 40.8437514, -73.8952656 40.8437818)",3,I 95,Cross Bronx Expressway,,,0.049999999999954525,yes,
42718876,103070839,0,"[38774216, 45183266, 469264836, 469264839]",True,motorway,830.1260000000002,"LINESTRING (-73.8952656 40.8437818, -73.8971629 40.8439941, -73.89878760000001 40.8441812, -73.90250829999999 40.844654, -73.90265309999999 40.8446696, -73.9028 40.844686, -73.9029511 40.8446998, -73.9030703 40.8447124, -73.9030976 40.8447151, -73.903808 40.8447841, -73.9039568 40.8447961, -73.9043825 40.8448351, -73.90463680000001 40.8448557, -73.9047286 40.8448642, -73.905023 40.8448918)",3,I 95,Cross Bronx Expressway,,yes,0.12600000000020373,,
103070839,4635180144,0,"[46687715, 469118567, 469118569, 469118571, 469118572, 469118575, 469118576, 46687708, 46687709]",True,motorway,562.975,"LINESTRING (-73.905023 40.8448918, -73.9053981 40.844916, -73.9055225 40.8449259, -73.90643590000001 40.8449723, -73.9068178 40.8449958, -73.9073721 40.8450286, -73.9077478 40.8450434, -73.9090932 40.8451109, -73.9095827 40.8451368, -73.91047260000001 40.8451673, -73.910966 40.8451874, -73.9113826 40.8452031, -73.91170169999999 40.8452115)",3,I 95;US 1,Cross Bronx Expressway,,,0.9750000000000227,yes,
4635180144,596669094,0,"[175164875, 469118564, 469118565]",True,motorway,172.391,"LINESTRING (-73.91170169999999 40.8452115, -73.9120937 40.8452215, -73.9124003 40.8452265, -73.91318990000001 40.8452365, -73.91375069999999 40.84524)",3,I 95;US 1,Cross Bronx Expressway,50 mph,,0.39099999999999113,yes,
596669094,60923264,0,"[175164875, 8119435]",True,motorway,411.90500000000003,"LINESTRING (-73.91375069999999 40.84524, -73.9143195 40.8452371, -73.9154497 40.8452284, -73.91663579999999 40.8452005, -73.91763880000001 40.8451616, -73.9186431 40.8451085)",3,I 95;US 1,Cross Bronx Expressway,50 mph,,0.9050000000000296,yes,
60923264,60922834,0,"[8119435, 33117572]",True,motorway,789.6179999999999,"LINESTRING (-73.9186431 40.8451085, -73.9196374 40.8450514, -73.9213475 40.8449543, -73.9229141 40.8448642, -73.923768 40.8448165, -73.92405429999999 40.844807, -73.92419820000001 40.8448052, -73.924339 40.8448081, -73.92448520000001 40.8448141, -73.9246246 40.844821, -73.92475570000001 40.8448284, -73.9248893 40.8448384, -73.9249744 40.8448456, -73.92512000000001 40.8448595, -73.92526650000001 40.8448756, -73.9254042 40.8448924, -73.92554920000001 40.8449116, -73.9256907 40.844933, -73.9258313 40.8449562, -73.9259682 40.8449818, -73.9261152 40.8450112, -73.9262506 40.8450408, -73.9263833 40.8450719, -73.927351 40.8453054, -73.9278971 40.8454545)",3,I 95;US 1,Cross Bronx Expressway,50 mph,yes,0.6179999999999382,,
60922834,373850887,0,"[46593907, 121787380]",True,motorway,213.659,"LINESTRING (-73.9278971 40.8454545, -73.9286759 40.8456427, -73.9303144 40.8460446)",4,I 95;US 1,"['Trans-Manhattan Expressway', 'Cross Bronx Expressway']",,yes,0.6589999999999918,,
373850887,60925716,0,9852385,True,motorway,283.46700000000004,"LINESTRING (-73.9303144 40.8460446, -73.9304922 40.8461302, -73.93075570000001 40.8462187, -73.9317621 40.8466364, -73.93212990000001 40.8467792, -73.93284199999999 40.8470604, -73.9332979 40.847227)",2,I 95;US 1,Trans-Manhattan Expressway,,,0.4670000000000414,,
