u,v,key,osmid,oneway,highway,length,geometry,lanes,ref,name,maxspeed,bridge,dangerosity,tunnel,access
277617107,461204976,0,"[570981706, 126097328, 126097330, 126080372, 126080374]",True,motorway,969.0590000000001,"LINESTRING (-73.8695669 40.6981314, -73.8692736 40.6983794, -73.8690072 40.6986902, -73.8688818 40.6988873, -73.8687666 40.6991168, -73.86867909999999 40.6994321, -73.86863959999999 40.6995764, -73.86855370000001 40.6999102, -73.8683892 40.7005287, -73.86827940000001 40.7008184, -73.86813789999999 40.7010801, -73.86790430000001 40.701402, -73.8677521 40.701563, -73.86742649999999 40.701834, -73.86701770000001 40.7020996, -73.8666408 40.702266, -73.8661984 40.7024337, -73.8657719 40.7025585, -73.8652994 40.702655, -73.86476330000001 40.7027329, -73.8640315 40.7027786, -73.86338550000001 40.7027807, -73.86273660000001 40.7027296, -73.8620708 40.7026466, -73.8616936 40.7025865)",2,,Jackie Robinson Parkway,,yes,0.059000000000082764,,
461204976,461209177,0,126080374,True,motorway,109.32199999999999,"LINESTRING (-73.8616936 40.7025865, -73.86131 40.7025264, -73.8606837 40.7024282, -73.86042019999999 40.702403)",2,,Jackie Robinson Parkway,,,0.3219999999999885,,
461209177,6401816504,0,"[126080184, 126080188, 747940406, 747940407]",True,motorway,1649.8090000000004,"LINESTRING (-73.86042019999999 40.702403, -73.8600454 40.7023874, -73.8593108 40.7024737, -73.85877189999999 40.7026173, -73.85839660000001 40.7027694, -73.8577677 40.7030545, -73.8572988 40.7032598, -73.8567165 40.7034611, -73.8560545 40.7036106, -73.85538099999999 40.7037301, -73.8551119 40.7037916, -73.8548598 40.7038524, -73.8543379 40.7040223, -73.8538415 40.7042391, -73.8533686 40.7044977, -73.8528949 40.7048133, -73.85256010000001 40.7051191, -73.8522426 40.7054509, -73.8515598 40.7063859, -73.85140749999999 40.7065795, -73.8512621 40.7067316, -73.8510723 40.7069026, -73.8508439 40.7070753, -73.8506027 40.7072303, -73.85036770000001 40.707362, -73.8501055 40.7074845, -73.8498142 40.7075939, -73.8494469 40.7077057, -73.8488265 40.7078128, -73.8484488 40.7078453, -73.84547070000001 40.7079413, -73.8446983 40.7080075, -73.84438299999999 40.7080434, -73.8441844 40.7080695, -73.8440258 40.7080937, -73.8436827 40.7081505, -73.84360940000001 40.7081635, -73.84356029999999 40.7081722, -73.8435104 40.7081819)","['2', '3']",,Jackie Robinson Parkway,,yes,0.8090000000004238,,
6401816504,461767551,0,"[126079802, 126080188, 126079799]",True,motorway,478.319,"LINESTRING (-73.8435104 40.7081819, -73.8433079 40.7082217, -73.84322760000001 40.7082396, -73.8431092 40.7082637, -73.84301290000001 40.7082874, -73.8429154 40.7083137, -73.84276920000001 40.7083573, -73.8426638 40.7083916, -73.8426091 40.7084111, -73.8424802 40.7084605, -73.8422977 40.7085368, -73.84215399999999 40.7086033, -73.8420903 40.7086325, -73.8420369 40.7086599, -73.84199289999999 40.708683, -73.8419499 40.7087055, -73.8419068 40.7087286, -73.8418495 40.7087605, -73.8417546 40.7088137, -73.8411632 40.7091299, -73.84098229999999 40.7092249, -73.84084350000001 40.7093018, -73.84075110000001 40.7093516, -73.8406755 40.7093896, -73.84054329999999 40.7094539, -73.8404626 40.7094934, -73.8403658 40.7095397, -73.8402159 40.7096051, -73.840119 40.7096475, -73.8400218 40.7096901, -73.8399537 40.7097179, -73.8398711 40.7097497, -73.8398184 40.7097699, -73.83975959999999 40.709791, -73.83969279999999 40.7098151, -73.8396295 40.7098361, -73.839585 40.7098505, -73.8393665 40.7099211, -73.8388976 40.7100655, -73.8385267 40.7101805)",2,,Jackie Robinson Parkway,,yes,0.3190000000000168,,
461767551,6400431518,0,"[119968295, 119968296, 126079799, 126077114, 126077118]",True,motorway,1089.2149999999997,"LINESTRING (-73.8385267 40.7101805, -73.8383884 40.7102302, -73.83828800000001 40.7102633, -73.8382233 40.7102845, -73.83814700000001 40.7103111, -73.8380684 40.7103408, -73.8380106 40.7103653, -73.8379288 40.7104027, -73.8378525 40.7104373, -73.83776469999999 40.7104783, -73.83769409999999 40.7105153, -73.8376457 40.7105423, -73.8375946 40.710572, -73.83755119999999 40.7105978, -73.83751340000001 40.7106214, -73.83748629999999 40.7106392, -73.8374522 40.7106636, -73.8373933 40.7107031, -73.8373522 40.7107326, -73.83730129999999 40.7107686, -73.8372415 40.7108127, -73.8371616 40.7108704, -73.83709930000001 40.7109161, -73.8369929 40.7110017, -73.8369362 40.7110477, -73.83687329999999 40.7110943, -73.83672180000001 40.7112054, -73.83660380000001 40.7112971, -73.8365617 40.7113293, -73.8365214 40.711359, -73.8364261 40.711426, -73.8363842 40.7114553, -73.8363411 40.7114847, -73.83629879999999 40.7115136, -73.8362558 40.7115415, -73.8362034 40.7115748, -73.8361331 40.7116173, -73.83609439999999 40.7116409, -73.8358535 40.7117888, -73.83580980000001 40.7118141, -73.83572049999999 40.7118654, -73.8356575 40.7119015, -73.83560629999999 40.7119302, -73.8355437 40.7119644, -73.8354767 40.7120011, -73.8354037 40.71204, -73.8353049 40.712093, -73.8351894 40.7121541, -73.83502780000001 40.7122395, -73.8348426 40.7123395, -73.8338279 40.7128806, -73.8335495 40.7130388, -73.833297 40.7131862, -73.8330641 40.7133071, -73.8325901 40.7135533, -73.8323504 40.7136849, -73.832092 40.7138214, -73.83179800000001 40.7139757, -73.8317081 40.7140228, -73.83162299999999 40.7140672, -73.83157730000001 40.7140922, -73.8315484 40.7141066, -73.831529 40.7141159, -73.83151239999999 40.7141237, -73.83148559999999 40.7141355, -73.8314457 40.7141508, -73.83137290000001 40.7141762, -73.83132879999999 40.7141916, -73.8312536 40.7142164, -73.83114689999999 40.7142501, -73.8310783 40.7142713, -73.8308103 40.714352, -73.830549 40.7144209, -73.83040699999999 40.7144576, -73.8302978 40.7144852, -73.8297888 40.7146123, -73.8297043 40.7146334, -73.829605 40.7146614, -73.82955459999999 40.7146768, -73.82947830000001 40.7147018, -73.82941169999999 40.7147239, -73.829357 40.7147421, -73.82929590000001 40.7147633, -73.8292254 40.7147888, -73.8291316 40.7148238, -73.8290563 40.7148514, -73.8289697 40.7148812, -73.8289066 40.7149029, -73.8288622 40.7149182, -73.8288225 40.714931, -73.8287696 40.7149469, -73.82868449999999 40.7149715, -73.8283661 40.7150655, -73.8276321 40.7152497)",2,,Jackie Robinson Parkway,,,0.21499999999969077,yes,
6400431518,6400097536,0,"[125911601, 5700621, 125911612, 5700253]",True,motorway_link,236.30699999999996,"LINESTRING (-73.8276321 40.7152497, -73.82684500000001 40.7154256, -73.8264964 40.7155182, -73.8262543 40.7155851, -73.8261267 40.7156173, -73.82597269999999 40.7156558, -73.8259044 40.715675, -73.82585450000001 40.715689, -73.8257837 40.7157103, -73.8257313 40.7157284, -73.82568089999999 40.7157458, -73.8256124 40.7157726, -73.8255436 40.7158006, -73.82547030000001 40.7158323, -73.825405 40.7158633, -73.8253662 40.7158844, -73.82533220000001 40.7159044, -73.8252992 40.7159285, -73.8252717 40.7159535, -73.82523089999999 40.7159969, -73.8251963 40.7160356, -73.82517129999999 40.7160661, -73.82515410000001 40.71609, -73.8251393 40.7161122)",1,,,,yes,0.3069999999999595,,
6400097536,6400431775,0,"[683336724, 5700621]",True,motorway_link,360.31600000000003,"LINESTRING (-73.8251393 40.7161122, -73.82512939999999 40.7161355, -73.8251171 40.7161622, -73.8251064 40.716188, -73.8250881 40.7162316, -73.8250719 40.7162951, -73.82506189999999 40.7163614, -73.8250589 40.7164223, -73.8250615 40.716481, -73.8250675 40.7165272, -73.8250831 40.7165854, -73.82509640000001 40.7166208, -73.8251109 40.7166556, -73.82512490000001 40.7166815, -73.8251453 40.7167157, -73.8251592 40.7167358, -73.8251803 40.716767, -73.8252069 40.7168014, -73.8252456 40.7168404, -73.82528840000001 40.7168819, -73.8253496 40.7169316, -73.8254649 40.7170255, -73.8256564 40.7171775, -73.82568809999999 40.7172053, -73.8257145 40.7172305, -73.8257539 40.717271, -73.8257945 40.7173212, -73.8258302 40.7173701, -73.8258718 40.7174301, -73.8259023 40.7174799, -73.8259268 40.7175252, -73.8259626 40.7175996, -73.82599089999999 40.7176737, -73.8260076 40.7177301, -73.82602300000001 40.7177978, -73.8260319 40.7178674, -73.8260535 40.7180377, -73.82607400000001 40.7191217)",1,,,,yes,0.3160000000000309,,
6400431775,277577940,0,25482340,True,motorway,430.22299999999996,"LINESTRING (-73.82607400000001 40.7191217, -73.82606149999999 40.7193029, -73.82606 40.719516, -73.8260702 40.7197898, -73.8260882 40.7200255, -73.8261392 40.7203251, -73.82623719999999 40.7206562, -73.8263319 40.7209079, -73.82644620000001 40.7211596, -73.82662670000001 40.7214948, -73.826846 40.7218368, -73.8271644 40.7223415, -73.82745869999999 40.7227817)",3,I 678,Van Wyck Expressway,,,0.22299999999995634,,
277577940,597389887,0,25482340,True,motorway,1187.159,"LINESTRING (-73.82745869999999 40.7227817, -73.8277472 40.7231247, -73.82792619999999 40.7233427, -73.8280101 40.7234429, -73.8280936 40.7235401, -73.8281856 40.7236314, -73.8283172 40.7237555, -73.8284463 40.7238858, -73.8285841 40.7240193, -73.8287215 40.7241451, -73.828869 40.7242723, -73.8290133 40.7243941, -73.82916640000001 40.7245168, -73.8293166 40.7246324, -73.829475 40.7247482, -73.8296349 40.7248599, -73.8297989 40.724972, -73.8299671 40.7250813, -73.8308669 40.7256685, -73.831024 40.7257748, -73.8311906 40.7258919, -73.8313361 40.7260024, -73.83148 40.7261198, -73.83161509999999 40.7262406, -73.8317476 40.7263671, -73.83187479999999 40.7264986, -73.8319982 40.7266422, -73.8321081 40.7267814, -73.83221109999999 40.7269226, -73.8323067 40.7270675, -73.8323973 40.7272184, -73.8324799 40.7273666, -73.8336639 40.7296468, -73.8340431 40.7303766, -73.83473309999999 40.7317055)",3,I 678,Van Wyck Expressway,,,0.1590000000001055,,
597389887,511252384,0,25482340,True,motorway,383.53600000000006,"LINESTRING (-73.83473309999999 40.7317055, -73.8353171 40.7328325, -73.83548949999999 40.73316, -73.8358089 40.733776, -73.8359148 40.7339905, -73.8359837 40.7341403, -73.83605230000001 40.7343066, -73.8361124 40.7344631, -73.8361642 40.734624, -73.83620980000001 40.7347851, -73.83625050000001 40.734951)",3,I 678,Van Wyck Expressway,,,0.5360000000000582,,
